marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
Audi|Audi Q7 3.0T Elite|SUV|1659900.0|Más de $1,200,000|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q7/30t-elite/172895
Audi|Audi Q7 3.0T S line|SUV|1749900.0|Más de $1,200,000|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q7/30t-s-line/172896
Audi|Audi Q7e 3.0T 55 TFSI|SUV|2004900.0|Más de $1,200,000|Gasolina - Eléctrico|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q7e/30t-55-tfsi/172882
Audi|Audi Q8 3.0T Elite|SUV|1739900.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q8/30t-elite/172892
Audi|Audi Q8 3.0T S line|SUV|1909900.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q8/30t-s-line/172891
Audi|Audi Q8e 3.0T 60 TFSI|SUV|2124900.0|Más de $1,200,000|Gasolina - Eléctrico|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q8e/30t-60-tfsi/172894
Audi|Audi RS 3 2.5T|Sedán|1624900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/rs-3/25t/172240
Audi|Audi RS 6 Station Wagon Avant Performance|Station Wagon||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/rs-6-station-wagon/avant-performance/171887
Audi|Audi RS Q8 4.0T Performance|SUV|3234900.0|Más de $1,200,000|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/rs-q8/40t-performance/172890
Audi|Audi S6 2.9T TFSI Mild Hybrid|Sedán|1944900.0|Más de $1,200,000|Gasolina - Eléctrico|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/s6/29t-tfsi-mild-hybrid/171754
Audi|Audi S6 Sportback e-tron quattro|Sedán|1939900.0|Más de $1,200,000|eléctrico|automática 1 velocidad|https://www.autocosmos.com.mx/catalogo/2025/audi/s6-sportback-e-tron/quattro/172806
Audi|Audi S8 4.0L TFSI|Sedán|3474900.0|Más de $1,200,000|Gasolina - Eléctrico|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/s8/40l-tfsi/172883
Audi|Audi SQ5 3.0L TFSI|SUV|1609900.0|Más de $1,200,000|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/sq5/30l-tfsi/172905
Audi|Audi SQ5 Sportback 3.0L TFSI|SUV|1709900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/sq5-sportback/30l-tfsi/172904
Audi|Audi SQ6 e-tron quattro|SUV||No disponible|eléctrico|automática 1 velocidad|https://www.autocosmos.com.mx/catalogo/2025/audi/sq6-e-tron/quattro/172484
Audi|Audi SQ7 4.0T|SUV||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/sq7/40t/172881
